id		Majority protein IDs
702		Q9LZ72
703		Q9LZH9;P49692
705		Q9LZQ4;A0A097PPH7;Q56XW4
706		Q9LZR5
707		Q9LZX1-2;Q9LZX1
710		Q9M0E2
711		Q9M1E4
712		Q9M1H3
714		Q9M1Q4
717		Q9M337
719		Q9M837
723		Q9S709;A8MRI1;Q9FMY5
724		Q9S756
726		Q9S7I3
727		Q9S7Y7
730		Q9SAF2
732		S4X733;Q9SB64
733		Q9SCM3
734		Q9SEE9-2;Q9SEE9;Q9SEE9-3
735		Q9SEU4-4;Q9SEU4-2;Q9SEU4;Q9SEU4-3
737		Q9SFU0
739		Q9SG83;F4J4X8;Q8LBM0
742		Q9SHI1
743		Q9SIE3
744		Q9SIH0
746		Q9SJ62
747		Q9SJA6
749		Q9SJL8
750		Q9SJT9;Q94A40
751		Q9SK74
752		Q9SKK4
753		Q9SKN2
755		Q9SMX1
758		Q9SQV1
759		Q9SR13
760		Q9SR73
762		Q9SRZ6;Q56ZW5;Q9SLK0
765		Q9SS98
770		Q9SUR0
772		Q9SV23
773		Q9SVR0
777		Q9SZ52
780		Q9T093
781		Q9XI21
782		Q9ZQ44
783		Q9ZQE5
784		Q9ZT92
790		Q9ZVD0
791		Q9ZVD5
794		Q9ZVL0
798		Q9ZW36
799		Q9ZWB3
311		P22953;F4KCE5
478		Q9FNC4;Q8LC74
626		Q9FNR2
768		Q9STM4
314		P25873
166		Q9LJC2;F4IWD6;F4IWD7;Q0WP33
163		O48772;F4IUS5
251		O22714
597		Q9FGY1
274		O50008;Q9SRV5
217		Q9C5Z1;F4K4D5
409		Q39099;B9DI24
633		Q9FQ03;Q9FQ03-2
121		Q9FZJ2;F4HSW8
260		Q5D6C5;Q5D6C3;O23255;A8MQP1;F4JTV4;Q5D6C4;B9DG03;C0Z3F3;F4JTV5;Q9LK36;A7XB43
239		O04310
141		Q9SRD2;F4I420
353		Q8VZ60;P56820
447		Q9LP40;Q84W75
402		Q38900;Q38900-2
240		O04314-2;O04314;C0Z3F0
209		F4JYK7;Q9FGJ5;Q8VZ63;F4JYK6;Q8LDS6
649		Q9LF98;Q56Z19;Q9SJQ9
704		Q9LZJ2
